IRTT,"	ORTT","	T1","		T2","		T3","		G","		HNG","		phiL","	phiR","	UX1","		UY1","		UX2	","	UY2	","	UX3	","	UY3	","	UX4	","	UY4","		UX5","		UY5","		UX6","		UY6	","	UX7","		UY7","		UX8","		UY8","		UX9","		UY9","		UX10","		UY10","		MaxVM",Error
0.015,0.028,0.91,0.86,0.17,0.041,0.021,0.11,0.16,-0.477319,-0.018623,-0.318512,-0.001083,-0.279597,0.001382,-0.119847,0.00402,-0.078853,0.004697,0.080897,0.007336,0.121892,0.008013,0.281642,0.010651,0.318685,0.007989,0.476416,-0.017466,814115840,0.022883
0.019,0.027,0.5,0.29,0.11,0.04,0.038,0.13,0.15,-0.475243,-0.035087,-0.315807,-0.014242,-0.280651,-0.011838,-0.119863,-0.010776,-0.079863,-0.010512,0.080926,-0.009451,0.120925,-0.009187,0.281714,-0.008125,0.315559,-0.010556,0.474546,-0.034585,115404920,0.03451
0.003,0.02,0.46,0.45,0.03,0.033,0.044,0.3,0.2,-0.471234,-0.037159,-0.309131,0.012986,-0.2913,0.015387,-0.121706,0.009909,-0.088723,0.008844,0.08087,0.003366,0.113853,0.0023,0.283446,-0.003178,0.308788,-0.006134,0.475087,-0.039845,128464672,0.211056
0.018,0.029,0.33,0.3,0.16,0.047,0.048,0.19,0.28,-0.467858,-0.042698,-0.315297,-0.013358,-0.276395,-0.009077,-0.121105,-0.004546,-0.074125,-0.003176,0.081165,0.001355,0.128145,0.002726,0.283435,0.007257,0.314844,0.003297,0.46415,-0.039636,38037084,0.275938
0.018,0.03,0.12,0.12,0.14,0.029,0.027,0.16,0.16,-0.481384,-0.024345,-0.311554,0.003062,-0.287041,0.005027,-0.115014,0.005027,-0.086014,0.005027,0.086014,0.005027,0.115014,0.005027,0.287041,0.005027,0.311554,0.003062,0.481384,-0.024345,6491482.5,0.272526
0.007,0.01,0.13,0.12,0.18,0.032,0.023,0.29,0.13,-0.478091,-0.017464,-0.315003,0.031203,-0.291468,0.034016,-0.121505,0.025147,-0.089548,0.02348,0.080415,0.014612,0.112371,0.012944,0.282335,0.004076,0.312395,0.001331,0.481153,-0.020732,306704768,0.399937
0.007,0.019,0.11,0.06,0.16,0.029,0.044,0.14,0.19,-0.479502,-0.041546,-0.309052,-0.017526,-0.285613,-0.015689,-0.113502,-0.012859,-0.084506,-0.012383,0.087604,-0.009553,0.1166,-0.009076,0.288711,-0.006247,0.308415,-0.007961,0.477451,-0.04047,25280370,0.237458
0.011,0.022,0.08,0.07,0.02,0.048,0.05,0.19,0.24,-0.466989,-0.044568,-0.315858,-0.015502,-0.276922,-0.011472,-0.123043,-0.008966,-0.075049,-0.008185,0.078831,-0.005679,0.126824,-0.004898,0.280704,-0.002392,0.315314,-0.00628,0.464803,-0.042862,24757340,0.316271
0.007,0.024,0.03,0.02,0.15,0.032,0.02,0.18,0.19,-0.480678,-0.016812,-0.314038,0.013511,-0.285812,0.016105,-0.116437,0.01666,-0.084437,0.016765,0.084938,0.01732,0.116938,0.017424,0.286313,0.017979,0.314183,0.01537,0.480511,-0.016618,15700318,0.3385
0.006,0.023,0.14,0.1,0.04,0.033,0.022,0.11,0.14,-0.481185,-0.020056,-0.314557,-0.001652,-0.283854,0.000191,-0.116221,0.001854,-0.083223,0.002182,0.08441,0.003845,0.117408,0.004172,0.285041,0.005835,0.314591,0.003911,0.480591,-0.019482,21888672,0.159299
0.003,0.026,0.32,0.25,0.1,0.03,0.044,0.22,0.18,-0.475759,-0.039666,-0.308262,-0.00221,-0.288802,-0.00019,-0.117183,-0.002432,-0.087186,-0.002824,0.084434,-0.005067,0.114431,-0.005459,0.28605,-0.007702,0.308504,-0.009876,0.477365,-0.040604,42371684,0.191029
0.014,0.022,0.3,0.23,0.1,0.025,0.049,0.13,0.16,-0.481253,-0.046966,-0.306879,-0.024169,-0.287853,-0.022836,-0.112003,-0.021096,-0.087005,-0.020848,0.088845,-0.019108,0.113844,-0.018861,0.289693,-0.017121,0.306241,-0.018365,0.479853,-0.046383,72471688,0.11157
0.02,0.028,0.72,0.64,0.18,0.038,0.032,0.13,0.17,-0.477012,-0.029267,-0.315458,-0.008146,-0.281346,-0.0057,-0.118432,-0.003552,-0.080435,-0.003051,0.08248,-0.000903,0.120476,-0.000402,0.283391,0.001746,0.31528,-0.00076,0.47586,-0.028324,127182560,0.031926
0.007,0.022,0.46,0.43,0.11,0.024,0.029,0.15,0.15,-0.483801,-0.026881,-0.308885,-0.000445,-0.289354,0.001022,-0.112451,0.001022,-0.088451,0.001022,0.088451,0.001022,0.112451,0.001022,0.289354,0.001022,0.308885,-0.000445,0.483801,-0.026881,71098328,0.081031
0.003,0.026,0.49,0.39,0.12,0.02,0.035,0.19,0.12,-0.48357,-0.032482,-0.305783,0.00171,-0.293383,0.002748,-0.112386,-0.001425,-0.092391,-0.001886,0.088606,-0.006059,0.1086,-0.00652,0.289597,-0.010693,0.306139,-0.011878,0.485882,-0.033551,73984712,0.070868
0.007,0.015,0.13,0.09,0,0.04,0.039,0.29,0.17,-0.469683,-0.031652,-0.314097,0.014776,-0.287618,0.018118,-0.125375,0.011798,-0.085406,0.010241,0.076837,0.003921,0.116806,0.002364,0.279049,-0.003955,0.313665,-0.007585,0.47369,-0.035054,290921152,0.368088
0.003,0.019,0.68,0.45,0.04,0.039,0.021,0.14,0.29,-0.47776,-0.018073,-0.316128,0.004704,-0.279248,0.008196,-0.116213,0.016162,-0.07726,0.018066,0.085775,0.026032,0.124729,0.027935,0.287763,0.035901,0.318896,0.032129,0.475309,-0.014547,398198464,0.018202
0.013,0.021,0.18,0.12,0.11,0.031,0.049,0.12,0.25,-0.478746,-0.046792,-0.309319,-0.026363,-0.282225,-0.024155,-0.111726,-0.016892,-0.080754,-0.015572,0.089744,-0.008309,0.120716,-0.006989,0.291215,0.000275,0.307511,-0.001422,0.472859,-0.043642,56756116,0.217352
0.012,0.022,0.36,0.27,0.04,0.041,0.031,0.17,0.19,-0.474551,-0.027085,-0.316554,0.000036,-0.280892,0.003193,-0.120587,0.004244,-0.079588,0.004513,0.080716,0.005565,0.121715,0.005833,0.282019,0.006885,0.316592,0.003705,0.474014,-0.026571,69870856,0.098126
0.021,0.029,0.43,0.26,0.02,0.021,0.033,0.23,0.23,-0.482253,-0.029737,-0.305894,0.011556,-0.292694,0.013081,-0.111565,0.013081,-0.090565,0.013081,0.090565,0.013081,0.111565,0.013081,0.292694,0.013081,0.305894,0.011556,0.482253,-0.029737,41441984,0.147019
0.01,0.015,0.08,0.07,0.06,0.043,0.039,0.26,0.19,-0.469196,-0.032162,-0.315427,0.008744,-0.284068,0.012482,-0.124992,0.008863,-0.082003,0.007885,0.077073,0.004267,0.120062,0.003289,0.279138,-0.000329,0.315267,-0.004187,0.471521,-0.034238,86679280,0.362353
0.005,0.025,0.25,0.23,0.07,0.035,0.026,0.19,0.11,-0.477905,-0.022227,-0.314884,0.009125,-0.2858,0.01151,-0.11985,0.007134,-0.084862,0.006211,0.081089,0.001835,0.116077,0.000913,0.282027,-0.003463,0.314747,-0.005698,0.479752,-0.023922,21049350,0.172502
0.003,0.012,0.63,0.52,0.11,0.042,0.047,0.24,0.23,-0.46843,-0.040661,-0.312797,-0.002575,-0.282724,0.001002,-0.1225,0.000482,-0.0805,0.000346,0.079724,-0.000173,0.121724,-0.00031,0.281948,-0.000829,0.312832,-0.004447,0.468838,-0.040975,877683584,0.096598
0.015,0.027,0.61,0.56,0.1,0.022,0.029,0.12,0.25,-0.485607,-0.027475,-0.307246,-0.005968,-0.287572,-0.004365,-0.108082,0.003282,-0.086102,0.004218,0.093389,0.011865,0.115369,0.012801,0.29486,0.020448,0.308099,0.01907,0.482167,-0.025377,118844784,0.092576
0.004,0.023,0.94,0.61,0.09,0.039,0.04,0.24,0.21,-0.471551,-0.034218,-0.313172,0.00454,-0.28463,0.00784,-0.121586,0.006251,-0.082588,0.005871,0.080456,0.004281,0.119454,0.003901,0.282498,0.002312,0.31312,-0.001067,0.47259,-0.035056,373449856,0.016232
0.011,0.02,0.03,0.02,0.12,0.039,0.025,0.21,0.17,-0.475717,-0.020386,-0.31681,0.013484,-0.283779,0.016747,-0.121316,0.014619,-0.08232,0.014109,0.080143,0.011982,0.11914,0.011471,0.281602,0.009344,0.316417,0.006148,0.476552,-0.021341,14465167,0.33595
0.015,0.029,0.39,0.2,0.16,0.025,0.029,0.14,0.21,-0.483576,-0.026972,-0.30899,-0.002369,-0.287496,-0.000614,-0.111233,0.003437,-0.086239,0.004011,0.090025,0.008061,0.115018,0.008635,0.291282,0.012686,0.309292,0.010996,0.481729,-0.025757,50771628,0.108005
0.007,0.027,0.38,0.38,0.12,0.03,0.025,0.12,0.19,-0.482115,-0.023025,-0.3123,-0.002548,-0.284829,-0.00058,-0.113829,0.003362,-0.083837,0.004054,0.087162,0.007996,0.117154,0.008688,0.288153,0.01263,0.312582,0.010586,0.480548,-0.021717,44776880,0.151104
0.012,0.022,0.45,0.32,0.2,0.027,0.021,0.13,0.19,-0.483892,-0.019073,-0.311274,0.003495,-0.286698,0.005338,-0.112646,0.008775,-0.085651,0.009308,0.088402,0.012745,0.115397,0.013278,0.289449,0.016715,0.311823,0.014805,0.482777,-0.018072,87925736,0.065032
0.009,0.012,0.54,0.29,0.04,0.04,0.042,0.23,0.12,-0.470952,-0.036334,-0.313773,0.000468,-0.285404,0.003227,-0.12408,-0.002599,-0.084106,-0.004042,0.077218,-0.009868,0.117192,-0.011312,0.278517,-0.017137,0.314847,-0.019979,0.475116,-0.039304,1551085056,0.149189
0.011,0.029,1,0.56,0.01,0.045,0.032,0.14,0.26,-0.473255,-0.028547,-0.317945,-0.006661,-0.276394,-0.002928,-0.119669,0.003217,-0.074704,0.00498,0.08202,0.011125,0.126986,0.012888,0.28371,0.019033,0.318456,0.015182,0.47003,-0.02514,449863680,0.024532
0.015,0.027,0.05,0.04,0.2,0.025,0.025,0.23,0.11,-0.48213,-0.021492,-0.310377,0.018723,-0.2924,0.020441,-0.116139,0.013491,-0.091159,0.012506,0.085102,0.005556,0.110083,0.004571,0.286344,-0.002379,0.309499,-0.004112,0.484831,-0.023477,12938979,0.329335
0.005,0.017,0.31,0.27,0.18,0.026,0.026,0.15,0.12,-0.483261,-0.023765,-0.310477,0.002348,-0.288767,0.003871,-0.11403,0.00214,-0.088031,0.001882,0.086706,0.000151,0.112704,-0.000107,0.287441,-0.001838,0.310492,-0.003338,0.483981,-0.024257,74867672,0.105314
0.007,0.011,0.09,0.07,0.17,0.035,0.024,0.14,0.21,-0.479322,-0.021323,-0.314639,0.001884,-0.282613,0.0045,-0.116346,0.00832,-0.081355,0.009124,0.084911,0.012945,0.119902,0.013749,0.286168,0.017569,0.315225,0.014844,0.477881,-0.019825,101253272,0.239476
0.016,0.022,0.41,0.32,0.02,0.027,0.021,0.21,0.27,-0.482419,-0.017724,-0.310893,0.018835,-0.288162,0.021454,-0.112817,0.024861,-0.085822,0.025385,0.089524,0.028791,0.116518,0.029316,0.291864,0.032722,0.312363,0.030141,0.481388,-0.016638,132544024,0.163131
0.008,0.013,0.62,0.6,0.05,0.028,0.042,0.24,0.2,-0.476418,-0.037468,-0.307431,0.003886,-0.290363,0.005831,-0.116405,0.003567,-0.088407,0.003203,0.085551,0.000939,0.113549,0.000575,0.287507,-0.001688,0.30743,-0.003818,0.477935,-0.038381,624273088,0.107177
0.003,0.024,0.63,0.52,0.18,0.031,0.029,0.16,0.26,-0.480078,-0.02616,-0.311323,0.001073,-0.284205,0.003693,-0.113358,0.009263,-0.082374,0.010273,0.088472,0.015844,0.119456,0.016854,0.290303,0.022425,0.312373,0.019904,0.477566,-0.024041,86926312,0.073904
0.006,0.028,0.06,0.06,0.13,0.03,0.03,0.25,0.14,-0.478044,-0.025356,-0.311656,0.01713,-0.290632,0.019388,-0.119016,0.013214,-0.089035,0.012135,0.082581,0.005961,0.112561,0.004883,0.284178,-0.001292,0.310913,-0.00365,0.48096,-0.027613,9101824,0.360828
0.005,0.019,0.19,0.12,0.01,0.043,0.044,0.18,0.24,-0.47097,-0.03944,-0.314704,-0.011004,-0.279072,-0.007437,-0.12027,-0.004331,-0.077278,-0.00349,0.081524,-0.000383,0.124515,0.000458,0.283317,0.003564,0.314377,0.000127,0.468657,-0.037628,70086664,0.196725
0.009,0.017,0.14,0.12,0.02,0.024,0.02,0.15,0.26,-0.485146,-0.017982,-0.309255,0.008601,-0.287669,0.010613,-0.109895,0.016996,-0.08591,0.017857,0.091864,0.02424,0.115848,0.025101,0.293622,0.031484,0.311352,0.029489,0.483262,-0.016243,71116600,0.277403
0.004,0.022,0.34,0.2,0.02,0.039,0.032,0.28,0.21,-0.472416,-0.025365,-0.315285,0.019819,-0.286617,0.023528,-0.123161,0.019828,-0.084171,0.018945,0.079285,0.015245,0.118275,0.014363,0.281731,0.010662,0.314351,0.006851,0.474258,-0.027232,53648016,0.157589
0.005,0.021,0.7,0.67,0.06,0.043,0.048,0.2,0.3,-0.469392,-0.042772,-0.312894,-0.011048,-0.27832,-0.007014,-0.118721,-0.001859,-0.075744,-0.000471,0.083855,0.004684,0.126833,0.006072,0.286431,0.011228,0.312725,0.007687,0.465275,-0.039502,143908048,0.075605
0.007,0.016,0.29,0.23,0.17,0.032,0.03,0.12,0.19,-0.480524,-0.027869,-0.312695,-0.007632,-0.283714,-0.005556,-0.114714,-0.001659,-0.082722,-0.000922,0.086277,0.002974,0.118269,0.003712,0.287269,0.007608,0.312619,0.005487,0.478622,-0.026438,103734824,0.110872
0.008,0.022,0.7,0.43,0.11,0.031,0.038,0.28,0.25,-0.474602,-0.032237,-0.309448,0.015254,-0.28992,0.01791,-0.118082,0.016252,-0.087083,0.015952,0.084756,0.014294,0.115754,0.013995,0.287593,0.012336,0.309076,0.009532,0.475581,-0.032984,138253664,0.029218
0.007,0.021,0.09,0.08,0.2,0.024,0.032,0.27,0.24,-0.479899,-0.02764,-0.307736,0.020008,-0.293016,0.021935,-0.114389,0.020206,-0.09039,0.019974,0.088237,0.018245,0.112236,0.018013,0.290863,0.016285,0.307222,0.014232,0.480737,-0.02823,16440545,0.464848
0.017,0.027,0.53,0.29,0.03,0.045,0.05,0.15,0.16,-0.470281,-0.046076,-0.316067,-0.022769,-0.278627,-0.019894,-0.122662,-0.01938,-0.077662,-0.019232,0.078302,-0.018718,0.123302,-0.01857,0.279266,-0.018056,0.315848,-0.020929,0.469821,-0.045777,147895552,0.016253
0.006,0.024,0.54,0.29,0.09,0.032,0.022,0.13,0.22,-0.481283,-0.01974,-0.313349,0.002215,-0.283693,0.004586,-0.114404,0.009587,-0.082418,0.010532,0.086871,0.015534,0.118858,0.016479,0.288147,0.021481,0.314303,0.018982,0.479585,-0.017978,124733112,0.019682
0.003,0.015,0.59,0.49,0.01,0.038,0.037,0.23,0.23,-0.473065,-0.031694,-0.313258,0.005724,-0.284194,0.009081,-0.120065,0.009081,-0.082065,0.009081,0.082065,0.009081,0.120065,0.009081,0.284194,0.009081,0.313258,0.005724,0.473065,-0.031694,581764736,0.079738
0.007,0.029,0.61,0.36,0.14,0.031,0.025,0.14,0.24,-0.481163,-0.022592,-0.312217,0.001216,-0.284048,0.003655,-0.113524,0.009237,-0.082541,0.010251,0.087983,0.015834,0.118966,0.016848,0.28949,0.022431,0.313277,0.019957,0.479002,-0.020599,76548904,0.043992
0.015,0.026,0.02,0.01,0.03,0.043,0.036,0.13,0.22,-0.474015,-0.032909,-0.316988,-0.01238,-0.277782,-0.009246,-0.119488,-0.004569,-0.076507,-0.003299,0.081787,0.001378,0.124769,0.002647,0.283063,0.007324,0.316616,0.004119,0.471162,-0.03044,2262798.5,0.294835
0.013,0.027,0.66,0.38,0.17,0.049,0.032,0.11,0.24,-0.472135,-0.029117,-0.320548,-0.012375,-0.273867,-0.008805,-0.121497,-0.002302,-0.072542,-0.000212,0.079828,0.006291,0.128784,0.00838,0.281154,0.014884,0.320458,0.010993,0.468596,-0.025259,123196928,0.015245
0.006,0.015,0.49,0.45,0.01,0.028,0.038,0.18,0.24,-0.479423,-0.03488,-0.308399,-0.003759,-0.286688,-0.001585,-0.112889,0.001815,-0.084894,0.002362,0.088905,0.005762,0.116899,0.00631,0.290698,0.00971,0.308519,0.007737,0.477369,-0.033583,463052160,0.111315
0.01,0.019,0.12,0.08,0.17,0.023,0.026,0.13,0.23,-0.485227,-0.02429,-0.308266,-0.001155,-0.287888,0.000508,-0.109518,0.006358,-0.08653,0.007112,0.09184,0.012962,0.114828,0.013716,0.293198,0.019567,0.309109,0.017993,0.482875,-0.022694,17251316,0.270349
0.01,0.014,0.35,0.32,0.17,0.036,0.027,0.14,0.2,-0.478408,-0.024224,-0.314806,-0.001169,-0.282221,0.001439,-0.117033,0.004695,-0.08104,0.005405,0.084147,0.008661,0.12014,0.00937,0.285327,0.012627,0.315069,0.009938,0.476995,-0.022886,192914592,0.10618
0.005,0.015,0.1,0.07,0.06,0.024,0.03,0.2,0.29,-0.482279,-0.027018,-0.307288,0.008455,-0.288619,0.010602,-0.110144,0.015797,-0.086155,0.016495,0.09232,0.02169,0.11631,0.022389,0.294785,0.027583,0.308828,0.025741,0.479923,-0.025316,72648808,0.376773
0.006,0.013,0.58,0.38,0.07,0.036,0.042,0.12,0.11,-0.477102,-0.039543,-0.313753,-0.019847,-0.28305,-0.018053,-0.118519,-0.018598,-0.082519,-0.018717,0.082011,-0.019262,0.118011,-0.019381,0.282542,-0.019926,0.313961,-0.021708,0.477498,-0.03977,1662821120,0.013689
0.007,0.028,0.76,0.52,0.16,0.032,0.028,0.22,0.22,-0.478275,-0.023833,-0.312424,0.013254,-0.28692,0.016071,-0.116973,0.016071,-0.084973,0.016071,0.084973,0.016071,0.116973,0.016071,0.28692,0.016071,0.312424,0.013254,0.478275,-0.023833,109020600,0.032882
0.002,0.017,0.07,0.04,0.09,0.048,0.033,0.15,0.2,-0.471338,-0.029043,-0.319788,-0.006138,-0.276451,-0.002524,-0.123201,-0.000009,-0.075207,0.000779,0.078043,0.003294,0.126036,0.004082,0.279286,0.006597,0.319707,0.002876,0.469922,-0.027574,21041512,0.257328
0.006,0.016,0.15,0.1,0.15,0.047,0.027,0.12,0.28,-0.473437,-0.023993,-0.319522,-0.005434,-0.274546,-0.001551,-0.119728,0.006544,-0.072792,0.008998,0.082026,0.017093,0.128962,0.019547,0.28378,0.027642,0.320962,0.023389,0.469954,-0.019454,44883504,0.241439
0.005,0.019,0.35,0.25,0.08,0.03,0.036,0.14,0.19,-0.480123,-0.033555,-0.310664,-0.009674,-0.285244,-0.007682,-0.114134,-0.004869,-0.084138,-0.004375,0.086973,-0.001562,0.116969,-0.001069,0.28808,0.001744,0.310417,-0.000199,0.478471,-0.032519,141268256,0.085615
0.011,0.016,0.28,0.24,0.1,0.027,0.046,0.16,0.24,-0.479344,-0.043262,-0.306862,-0.015427,-0.286166,-0.013495,-0.111513,-0.00893,-0.084522,-0.008225,0.090131,-0.00366,0.117122,-0.002954,0.291775,0.001611,0.306247,0.000057,0.475953,-0.041473,173397312,0.184275
0.012,0.016,0.72,0.36,0.18,0.034,0.029,0.25,0.23,-0.476354,-0.023893,-0.313261,0.017752,-0.287152,0.020947,-0.118829,0.019857,-0.08483,0.019637,0.083493,0.018547,0.117492,0.018326,0.285814,0.017236,0.312943,0.014014,0.476836,-0.024361,1219269632,0.038737
0.002,0.01,0.34,0.34,0.03,0.032,0.026,0.27,0.25,-0.477645,-0.02079,-0.313098,0.024749,-0.288781,0.027972,-0.118052,0.026873,-0.086053,0.026666,0.084676,0.025566,0.116675,0.02536,0.287403,0.02426,0.312641,0.021007,0.478065,-0.021233,498119264,0.339078
0.01,0.017,0.18,0.15,0.14,0.03,0.05,0.2,0.24,-0.475366,-0.046023,-0.30682,-0.011857,-0.286403,-0.009675,-0.114445,-0.007437,-0.084447,-0.007047,0.087511,-0.004809,0.117509,-0.004419,0.289468,-0.002181,0.306501,-0.004123,0.473545,-0.045001,89260296,0.292216
0.011,0.026,0.42,0.32,0.07,0.029,0.028,0.1,0.17,-0.482777,-0.026413,-0.311824,-0.00926,-0.285048,-0.00761,-0.113282,-0.003638,-0.08429,-0.002968,0.087476,0.001004,0.116468,0.001674,0.288234,0.005646,0.311637,0.003924,0.480972,-0.025143,57879184,0.062698
0.016,0.025,0.68,0.49,0.16,0.028,0.03,0.15,0.19,-0.481674,-0.027571,-0.310432,-0.00169,-0.28668,0.000251,-0.113508,0.002527,-0.085511,0.002895,0.087661,0.005171,0.115658,0.005539,0.28883,0.007814,0.310516,0.005892,0.480586,-0.026816,193209632,0.01944
0.004,0.01,0.66,0.52,0.09,0.033,0.023,0.19,0.18,-0.479453,-0.01947,-0.314107,0.012329,-0.285823,0.014978,-0.117448,0.014426,-0.084448,0.014318,0.083927,0.013766,0.116927,0.013658,0.285302,0.013106,0.313993,0.01047,0.479649,-0.019674,1664472960,0.042371
0.003,0.012,0.36,0.28,0.09,0.049,0.031,0.22,0.26,-0.469325,-0.024906,-0.319676,0.008558,-0.277632,0.013478,-0.124299,0.015464,-0.075303,0.016098,0.07803,0.018084,0.127026,0.018719,0.280359,0.020704,0.320162,0.015763,0.468354,-0.02366,451904832,0.201711
0.006,0.013,0.19,0.15,0.1,0.028,0.046,0.23,0.24,-0.475882,-0.041597,-0.306245,-0.001878,-0.288951,0.000148,-0.114727,0.000713,-0.086727,0.000804,0.087497,0.001369,0.115496,0.001459,0.28972,0.002024,0.306236,0.00006,0.475467,-0.041354,207026352,0.300978
0.013,0.023,0.7,0.48,0.02,0.044,0.036,0.28,0.23,-0.468908,-0.028518,-0.316425,0.015329,-0.283814,0.019657,-0.125173,0.017098,-0.081179,0.016388,0.077462,0.01383,0.121456,0.01312,0.280097,0.010562,0.315889,0.006135,0.470372,-0.030036,117762760,0.026006
0.004,0.013,0.45,0.43,0,0.049,0.034,0.16,0.25,-0.470396,-0.029662,-0.319525,-0.005315,-0.275267,-0.001112,-0.122511,0.003375,-0.073532,0.004814,0.079225,0.009301,0.128204,0.01074,0.28096,0.015227,0.319778,0.010927,0.46785,-0.026882,278453888,0.063719
0.011,0.028,0.85,0.79,0.12,0.048,0.041,0.17,0.16,-0.469409,-0.036349,-0.318522,-0.010448,-0.27794,-0.007057,-0.124846,-0.00756,-0.076847,-0.007718,0.076247,-0.008222,0.124246,-0.00838,0.27734,-0.008883,0.318636,-0.012262,0.469774,-0.036653,150224704,0.021497
0.004,0.018,0.28,0.2,0.13,0.036,0.029,0.2,0.27,-0.476597,-0.024846,-0.313609,0.008194,-0.283076,0.011607,-0.116815,0.01538,-0.080824,0.016197,0.085437,0.01997,0.121427,0.020787,0.287688,0.02456,0.314638,0.02121,0.474917,-0.023148,83544488,0.209156
0.006,0.013,0.33,0.19,0.08,0.023,0.047,0.24,0.25,-0.477658,-0.042919,-0.303381,-0.000271,-0.29173,0.001153,-0.112312,0.001733,-0.089312,0.001808,0.090107,0.002388,0.113107,0.002462,0.292525,0.003042,0.303388,0.001695,0.47723,-0.042694,649931392,0.260431
0.012,0.017,0.72,0.39,0.1,0.037,0.023,0.19,0.22,-0.477489,-0.019092,-0.315749,0.012014,-0.283201,0.015276,-0.118505,0.016888,-0.081507,0.017251,0.083189,0.018863,0.120187,0.019225,0.284884,0.020838,0.316192,0.017535,0.476927,-0.018408,973137664,0.01167
0.006,0.024,0.24,0.12,0.11,0.044,0.036,0.21,0.14,-0.470979,-0.030623,-0.317124,0.00217,-0.281945,0.005469,-0.124676,0.001855,-0.080688,0.000845,0.076581,-0.002769,0.120569,-0.00378,0.277838,-0.007394,0.317421,-0.010626,0.473192,-0.032578,15742519,0.148284
